Year,YoungID,MotherID,East,GroupSize,RelFemAlong,FIDJuv,Observer,Sex,AgeatObs,TestNumber,DifferenceDays,DataFile,FIDAdFem
2017,914,913,7703,1,0,12,Weliton,F,1,1,500,JuvFID,NA
2017,914,913,7729,2,Mum,14,Weliton,F,1,2,9,JuvFID,NA
2017,914,913,7872,2,Mum,8,Weliton,F,1,3,56,JuvFID,NA
2017,914,913,7841,2,Mum,10,Weliton,F,1,4,12,JuvFID,NA
2017,914,913,7940,1,0,13,Weliton,F,1,5,34,JuvFID,NA
2018,914,913,7889,1,0,5,Weliton,F,2,6,290,JuvFID,NA
2018,914,913,7649,2,0,7,Weliton,F,2,7,4,JuvFID,NA
2017,916,915,8239,2,0,4,Weliton,M,1,1,500,JuvFID,NA
2017,916,915,7836,3,Mum,4,Weliton,M,1,2,20,JuvFID,NA
2017,916,915,7877,3,Mum,2,Weliton,M,1,3,14,JuvFID,NA
2017,916,915,8114,3,0,2,Weliton,M,1,4,42,JuvFID,NA
2017,916,915,7920,2,Mum,2,Weliton,M,1,5,2,JuvFID,NA
2017,916,915,7953,1,0,4,Weliton,M,1,6,12,JuvFID,NA
2018,916,915,8233,2,0,14,Weliton,M,2,7,285,JuvFID,NA
2017,918,917,8022,1,0,13,Weliton,F,1,1,500,JuvFID,NA
2017,918,917,7959,3,0,15,Weliton,F,1,2,7,JuvFID,NA
2018,918,917,8267,2,0,12,Weliton,F,2,3,140,JuvFID,NA
2018,918,917,7920,1,0,15,Weliton,F,2,4,168,JuvFID,NA
2018,918,917,7838,2,0,8,Weliton,F,2,5,35,JuvFID,NA
2017,921,258,7348,2,0,2,Weliton,F,1,1,500,JuvFID,NA
2017,921,258,7222,3,0,1,Weliton,F,1,2,86,JuvFID,NA
2017,921,258,7059,2,0,1,Weliton,F,1,3,3,JuvFID,NA
2018,921,258,6999,2,0,9,Weliton,F,2,4,91,JuvFID,NA
2018,921,258,7677,1,0,2,Weliton,F,2,5,4,JuvFID,NA
2018,921,258,7250,3,0,1,Weliton,F,2,6,150,JuvFID,NA
2018,921,258,7339,2,0,2,Weliton,F,2,7,18,JuvFID,NA
2017,923,743,7450,2,0,2,Weliton,F,1,1,500,JuvFID,NA
2017,923,743,7614,1,0,3,Weliton,F,1,2,27,JuvFID,NA
2018,923,743,7394,1,0,2,Weliton,F,2,3,183,JuvFID,NA
2018,923,743,7056,1,0,7,Weliton,F,2,4,2,JuvFID,NA
2018,923,743,7513,1,0,3,Weliton,F,2,5,1,JuvFID,NA
2018,923,743,7420,1,0,7,Weliton,F,2,6,151,JuvFID,NA
2018,923,743,7418,1,0,3,Weliton,F,2,7,15,JuvFID,NA
2017,924,522,7408,2,Mum,4,Weliton,F,1,1,500,JuvFID,NA
2017,924,522,7202,2,0,2,Weliton,F,1,2,79,JuvFID,NA
2018,924,522,7332,2,0,4,Weliton,F,2,3,104,JuvFID,NA
2018,924,522,7326,1,0,6,Weliton,F,2,4,167,JuvFID,NA
2018,924,522,7429,2,0,4,Weliton,F,2,5,19,JuvFID,NA
2017,926,521,7384,3,0,6,Weliton,M,1,1,500,JuvFID,NA
2017,926,521,7563,2,0,3,Weliton,M,1,2,114,JuvFID,NA
2017,928,429,7802,2,0,12,Weliton,F,1,1,500,JuvFID,NA
2017,928,429,7783,2,0,5,Weliton,F,1,2,3,JuvFID,NA
2017,928,429,7672,2,0,7,Weliton,F,1,3,1,JuvFID,NA
2018,928,429,7547,1,0,5,Weliton,F,2,4,93,JuvFID,NA
2018,928,429,7598,1,0,7,Weliton,F,2,5,4,JuvFID,NA
2018,928,429,7772,1,0,5,Weliton,F,2,6,166,JuvFID,NA
2018,928,429,7621,1,0,8,Weliton,F,2,7,26,JuvFID,NA
2017,930,193,7862,5,0,4,Weliton,M,1,1,500,JuvFID,NA
2017,930,193,8097,2,Mum,5,Weliton,M,1,2,17,JuvFID,NA
2017,930,193,7921,2,Mum,3,Weliton,M,1,3,65,JuvFID,NA
2017,930,193,8010,2,0,8,Weliton,M,1,4,20,JuvFID,NA
2017,930,193,8051,3,Mum,2,Weliton,M,1,5,11,JuvFID,NA
2017,930,193,7660,1,0,3,Weliton,M,1,6,2,JuvFID,NA
2018,930,193,7832,3,0,3,Weliton,M,2,7,93,JuvFID,NA
2018,930,193,7952,1,0,4,Weliton,M,2,8,156,JuvFID,NA
2018,930,193,7921,2,0,3,Weliton,M,2,9,39,JuvFID,NA
2018,930,193,7960,2,0,11,Weliton,M,2,10,7,JuvFID,NA
2017,931,827,8056,2,Mum,7,Weliton,F,1,1,500,JuvFID,NA
2017,931,827,8086,2,Mum,3,Weliton,F,1,2,5,JuvFID,NA
2018,931,827,8237,2,0,20,Weliton,F,2,3,312,JuvFID,NA
2018,931,827,8033,1,0,7,Weliton,F,2,4,33,JuvFID,NA
2017,932,342,8079,2,0,3,Weliton,M,1,1,500,JuvFID,NA
2017,932,342,6976,2,0,5,Weliton,M,1,2,2,JuvFID,NA
2018,932,342,7046,2,0,5,Weliton,M,2,3,269,JuvFID,NA
2018,932,342,7370,1,0,5,Weliton,M,2,4,34,JuvFID,NA
2017,933,607,7369,1,0,6,Weliton,M,1,1,500,JuvFID,NA
2017,933,607,7275,2,0,2,Weliton,M,1,2,40,JuvFID,NA
2017,933,607,7472,1,0,3,Weliton,M,1,3,13,JuvFID,NA
2017,933,607,7422,1,0,3,Weliton,M,1,4,14,JuvFID,NA
2017,933,607,7573,1,0,5,Weliton,M,1,5,8,JuvFID,NA
2018,933,607,7386,2,0,6,Weliton,M,2,6,315,JuvFID,NA
2018,933,607,7255,1,0,3,Weliton,M,2,7,12,JuvFID,NA
2017,934,89,7372,2,0,2,Weliton,M,1,1,500,JuvFID,NA
2017,940,525,8003,1,0,12,Weliton,M,1,1,500,JuvFID,NA
2017,940,525,7858,3,0,15,Weliton,M,1,2,3,JuvFID,NA
2018,940,525,8020,3,0,16,Weliton,M,2,3,267,JuvFID,NA
2018,940,525,7842,1,0,13,Weliton,M,2,4,25,JuvFID,NA
2018,940,525,8001,2,0,10,Weliton,M,2,5,35,JuvFID,NA
2017,941,337,7920,1,0,11,Weliton,M,1,1,500,JuvFID,NA
2017,941,337,7997,2,Mum,6,Weliton,M,1,2,42,JuvFID,NA
2018,941,337,7942,1,0,4,Weliton,M,2,3,149,JuvFID,NA
2018,941,337,8117,1,0,4,Weliton,M,2,4,169,JuvFID,NA
2018,941,337,7699,2,0,3,Weliton,M,2,5,14,JuvFID,NA
2017,942,54,7270,2,Mum,1,Weliton,M,1,1,500,JuvFID,NA
2017,942,54,7008,2,0,1,Weliton,M,1,2,20,JuvFID,NA
2017,942,54,6997,1,0,2,Weliton,M,1,3,8,JuvFID,NA
2017,942,54,7262,3,0,3,Weliton,M,1,4,3,JuvFID,NA
2017,944,276,7885,1,0,6,Weliton,F,1,1,500,JuvFID,NA
2017,944,276,8012,2,0,2,Weliton,F,1,2,33,JuvFID,NA
2018,944,276,8083,1,0,8,Weliton,F,2,3,275,JuvFID,NA
2018,944,276,8017,1,0,3,Weliton,F,2,4,27,JuvFID,NA
2017,946,586,8268,3,0,7,Weliton,M,1,1,500,JuvFID,NA
2017,946,586,7950,1,0,13,Weliton,M,1,2,3,JuvFID,NA
2018,946,586,8235,1,0,3,Weliton,M,2,3,259,JuvFID,NA
2018,946,586,7880,1,0,4,Weliton,M,2,4,24,JuvFID,NA
2018,946,586,7831,1,0,5,Weliton,M,2,5,10,JuvFID,NA
2018,946,586,7749,2,0,5,Weliton,M,2,6,27,JuvFID,NA
2018,946,586,8246,1,0,10,Weliton,M,2,7,6,JuvFID,NA
2017,948,86,7083,3,0,1,Weliton,M,1,1,500,JuvFID,NA
2017,948,86,7186,2,0,7,Weliton,M,1,2,50,JuvFID,NA
2018,948,86,7287,1,0,1,Weliton,M,2,3,312,JuvFID,NA
2018,948,86,7223,1,0,3,Weliton,M,2,4,2,JuvFID,NA
2018,948,86,7297,1,0,3,,M,2,5,23,JuvFID,NA
2017,950,578,7930,2,0,3,Weliton,M,1,1,500,JuvFID,NA
2017,950,578,7816,2,0,6,Weliton,M,1,2,1,JuvFID,NA
2017,950,578,8084,2,0,4,Weliton,M,1,3,3,JuvFID,NA
2017,951,491,7464,3,0,7,Weliton,F,1,1,500,JuvFID,NA
2017,951,491,7416,1,0,3,Weliton,F,1,2,21,JuvFID,NA
2017,951,491,7450,2,0,2,Weliton,F,1,3,54,JuvFID,NA
2017,951,491,7584,1,0,3,Weliton,F,1,4,32,JuvFID,NA
2018,951,491,7344,1,0,4,Weliton,F,2,5,94,JuvFID,NA
2018,951,491,6987,1,0,9,Weliton,F,2,6,1,JuvFID,NA
2018,951,491,7230,1,0,1,Weliton,F,2,7,3,JuvFID,NA
2017,953,387,8321,1,0,12,Weliton,M,1,1,500,JuvFID,NA
2017,953,387,8354,1,0,13,Weliton,M,1,2,1,JuvFID,NA
2018,953,387,8395,1,0,17,Weliton,M,2,3,262,JuvFID,NA
2018,953,387,8400,2,0,11,Weliton,M,2,4,42,JuvFID,NA
2017,954,401,7882,2,0,3,Weliton,F,1,1,500,JuvFID,NA
2017,954,401,7933,1,0,4,Weliton,F,1,2,114,JuvFID,NA
2017,954,401,7878,2,0,2,Weliton,F,1,3,5,JuvFID,NA
2018,954,401,7869,1,0,3,Weliton,F,2,4,90,JuvFID,NA
2018,954,401,7810,1,0,4,Weliton,F,2,5,11,JuvFID,NA
2018,954,401,7722,2,0,3,Weliton,F,2,6,167,JuvFID,NA
2018,954,401,7794,1,0,9,Weliton,F,2,7,20,JuvFID,NA
2017,955,519,7419,1,0,2,Weliton,F,1,1,500,JuvFID,NA
2017,955,519,7429,2,Mum,6,Weliton,F,1,2,2,JuvFID,NA
2017,955,519,7597,1,0,1,Weliton,F,1,3,2,JuvFID,NA
2017,956,247,7564,2,Mum,3,Weliton,M,1,1,500,JuvFID,NA
2017,956,247,7613,1,0,3,Weliton,M,1,2,88,JuvFID,NA
2018,956,247,7380,1,0,6,Weliton,M,2,3,98,JuvFID,NA
2018,956,247,7536,1,0,2,Weliton,M,2,4,1,JuvFID,NA
2018,956,247,7534,1,0,5,Weliton,M,2,5,168,JuvFID,NA
2018,956,247,7953,2,0,12,Weliton,M,2,6,33,JuvFID,NA
2018,956,247,7283,1,0,3,Weliton,M,2,7,25,JuvFID,NA
2017,958,957,7772,1,0,19,Weliton,F,1,1,500,JuvFID,NA
2017,958,957,7873,2,0,8,Weliton,F,1,2,88,JuvFID,NA
2018,958,957,7884,1,0,10,Weliton,F,2,3,136,JuvFID,NA
2018,958,957,7674,2,0,10,Weliton,F,2,4,167,JuvFID,NA
2018,958,957,7654,2,0,7,Weliton,F,2,5,25,JuvFID,NA
2018,958,957,7788,1,0,5,Weliton,F,2,6,3,JuvFID,NA
2017,960,959,7023,3,Mum,5,Weliton,M,1,1,500,JuvFID,NA
2018,960,959,7019,2,0,2,Weliton,M,2,2,90,JuvFID,NA
2018,960,959,7075,1,0,2,Weliton,M,2,3,3,JuvFID,NA
2017,961,414,7919,3,0,10,Weliton,M,1,1,500,JuvFID,NA
2017,961,414,7925,1,0,10,Weliton,M,1,2,19,JuvFID,NA
2017,961,414,7731,1,0,13,Weliton,M,1,3,39,JuvFID,NA
2017,961,414,7912,1,0,14,Weliton,M,1,4,10,JuvFID,NA
2018,961,414,8057,3,0,5,Weliton,M,2,5,298,JuvFID,NA
2018,961,414,8246,2,0,14,Weliton,M,2,6,2,JuvFID,NA
2017,962,562,8280,3,0,16,Weliton,F,1,1,500,JuvFID,NA
2017,962,562,8408,2,Mum,10,Weliton,F,1,2,4,JuvFID,NA
2018,962,562,8246,2,0,17,Weliton,F,2,3,271,JuvFID,NA
2018,962,562,8286,3,0,18,Weliton,F,2,4,40,JuvFID,NA
2017,975,974,8223,2,0,10,Weliton,F,1,1,500,JuvFID,NA
2017,975,974,8287,2,0,9,Weliton,F,1,2,18,JuvFID,NA
2018,975,974,8230,3,0,7,Weliton,F,2,3,321,JuvFID,NA
2018,975,974,8251,2,0,10,Weliton,F,2,4,20,JuvFID,NA
2017,976,557,7479,1,0,10,Weliton,F,1,1,500,JuvFID,NA
2017,976,557,7626,2,0,3,Weliton,F,1,2,3,JuvFID,NA
2017,976,557,7473,1,0,4,Weliton,F,1,3,67,JuvFID,NA
2017,976,557,7306,1,0,5,Weliton,F,1,4,16,JuvFID,NA
2018,976,557,7335,2,0,4,Weliton,F,2,5,98,JuvFID,NA
2018,976,557,7367,3,0,2,Weliton,F,2,6,2,JuvFID,NA
2018,976,557,7281,1,0,4,Weliton,F,2,7,2,JuvFID,NA
2018,976,557,7400,4,0,3,Weliton,F,2,8,174,JuvFID,NA
2018,976,557,7325,1,0,2,Weliton,F,2,9,3,JuvFID,NA
2017,979,603,7259,3,Mum,2,Weliton,M,1,1,500,JuvFID,NA
2017,979,603,7283,2,Mum,1,Weliton,M,1,2,26,JuvFID,NA
2017,979,603,7367,3,0,1,Weliton,M,1,3,2,JuvFID,NA
2017,979,603,7514,1,0,1,Weliton,M,1,4,3,JuvFID,NA
2017,979,603,7213,1,0,2,Weliton,M,1,5,81,JuvFID,NA
2018,979,603,7335,1,0,3,Weliton,M,2,6,269,JuvFID,NA
2018,979,603,7419,1,0,1,Weliton,M,2,7,29,JuvFID,NA
2017,981,734,8083,1,0,11,Weliton,F,1,1,500,JuvFID,NA
2017,981,734,8132,2,Mum,3,Weliton,F,1,2,55,JuvFID,NA
2018,981,734,8043,1,0,8,Weliton,F,2,3,145,JuvFID,NA
2018,981,734,8164,2,0,2,Weliton,F,2,4,167,JuvFID,NA
2018,981,734,8240,1,0,3,Weliton,F,2,5,33,JuvFID,NA
2017,984,983,7849,2,0,4,Weliton,M,1,1,500,JuvFID,NA
2017,984,983,7948,2,0,5,Weliton,M,1,2,41,JuvFID,NA
2018,984,983,8121,1,0,6,Weliton,M,2,3,99,JuvFID,NA
2018,984,983,7800,1,0,4,Weliton,M,2,4,201,JuvFID,NA
2018,984,983,7776,1,0,5,Weliton,M,2,5,5,JuvFID,NA
2017,985,112,8119,1,0,6,Weliton,F,1,1,500,JuvFID,NA
2017,985,112,7957,1,0,5,Weliton,F,1,2,0,JuvFID,NA
2017,985,112,7656,1,0,3,Weliton,F,1,3,4,JuvFID,NA
2018,985,112,7738,1,0,8,Weliton,F,2,4,93,JuvFID,NA
2018,985,112,7708,1,0,9,Weliton,F,2,5,177,JuvFID,NA
2018,985,112,7820,2,0,5,Weliton,F,2,6,29,JuvFID,NA
2017,988,523,7649,1,0,5,Weliton,M,1,1,500,JuvFID,NA
2017,994,126,7951,2,Mum,17,Weliton,M,1,1,500,JuvFID,NA
2017,994,126,7911,3,Mum,9,Weliton,M,1,2,25,JuvFID,NA
2017,994,126,8000,2,Mum,8,Weliton,M,1,3,8,JuvFID,NA
2018,994,126,7976,3,0,12,Weliton,M,2,4,185,JuvFID,NA
2018,994,126,7866,2,0,21,Weliton,M,2,5,159,JuvFID,NA
2018,994,126,7670,1,0,9,Weliton,M,2,6,32,JuvFID,NA
2018,0,1001,8173,1,0,NA,Weliton,0,0,3,94,AdFemFID,10
2018,0,1001,8143,1,0,NA,Weliton,0,0,4,154,AdFemFID,9
2018,0,1001,8017,2,0,NA,Weliton,0,0,5,46,AdFemFID,4
2019,0,1001,8116,1,0,NA,Weliton,0,0,6,148,AdFemFID,7
2019,0,1001,8011,3,0,NA,Weliton,0,0,7,21,AdFemFID,7
2018,0,1008,7788,1,0,NA,Weliton,0,0,3,270,AdFemFID,18
2018,0,1008,7510,3,0,NA,Weliton,0,0,4,46,AdFemFID,10
2019,0,1008,7983,2,0,NA,Weliton,0,0,5,146,AdFemFID,15
2019,0,1008,7986,2,0,NA,Weliton,0,0,6,8,AdFemFID,14
2017,0,101,7510,3,0,NA,Weliton,0,0,1,500,AdFemFID,6
2017,0,101,7369,2,0,NA,Weliton,0,0,2,36,AdFemFID,4
2017,0,101,7441,1,0,NA,Weliton,0,0,3,1,AdFemFID,3
2018,0,101,7243,3,0,NA,Weliton,0,0,4,181,AdFemFID,3
2018,0,101,7429,1,0,NA,Weliton,0,0,5,171,AdFemFID,6
2018,0,101,7435,1,0,NA,Weliton,0,0,6,23,AdFemFID,4
2019,0,101,7378,2,0,NA,Weliton,0,0,7,183,AdFemFID,5
2019,0,1026,7661,1,0,NA,Weliton,0,0,6,193,AdFemFID,8
2019,0,1026,8090,2,0,NA,Weliton,0,0,7,6,AdFemFID,6
2017,0,1027,8406,1,0,NA,Weliton,0,0,1,500,AdFemFID,10
2017,0,1027,8513,1,0,NA,Weliton,0,0,2,1,AdFemFID,11
2018,0,1027,8416,4,LPY,NA,Weliton,0,0,3,260,AdFemFID,12
2018,0,1027,8278,1,LPY,NA,Weliton,0,0,4,11,AdFemFID,16
2017,0,1033,7742,3,0,NA,Weliton,0,0,1,500,AdFemFID,5
2017,0,1033,7708,2,0,NA,Weliton,0,0,2,101,AdFemFID,5
2017,0,1033,7591,1,0,NA,Weliton,0,0,3,9,AdFemFID,8
2018,0,1033,7558,1,0,NA,Weliton,0,0,4,99,AdFemFID,9
2018,0,1033,7632,1,RegPY,NA,Weliton,0,0,5,156,AdFemFID,5
2018,0,1033,7307,2,LPY,NA,Weliton,0,0,6,43,AdFemFID,4
2019,0,1033,7529,1,0,NA,Weliton,0,0,7,148,AdFemFID,6
2019,0,1033,7518,1,0,NA,Carolina,0,0,8,2,AdFemFID,10
2017,0,1035,7895,2,0,NA,Weliton,0,0,1,500,AdFemFID,2
2017,0,1035,7832,1,0,NA,Weliton,0,0,2,2,AdFemFID,3
2017,0,1035,7706,3,0,NA,Weliton,0,0,3,29,AdFemFID,1
2018,0,1035,7590,1,0,NA,Weliton,0,0,4,186,AdFemFID,4
2017,0,1038,7990,1,LPY,NA,Weliton,0,0,1,500,AdFemFID,5
2017,0,1038,7930,1,LPY,NA,Weliton,0,0,2,33,AdFemFID,9
2018,0,1038,8116,2,SA,NA,Weliton,0,0,3,354,AdFemFID,14
2018,0,1038,7937,1,0,NA,Weliton,0,0,4,3,AdFemFID,14
2018,0,1038,8164,1,0,NA,Weliton,0,0,5,25,AdFemFID,6
2019,0,1038,7982,4,0,NA,Carolina,0,0,6,173,AdFemFID,5
2019,0,1038,7997,2,0,NA,Carolina,0,0,7,4,AdFemFID,9
2017,0,1040,7679,4,LPY,NA,Weliton,0,0,1,500,AdFemFID,1
2017,0,1040,7644,1,LPY,NA,Weliton,0,0,2,22,AdFemFID,1
2017,0,1040,7608,2,LPY,NA,Weliton,0,0,3,1,AdFemFID,2
2017,0,1040,8142,2,0,NA,Weliton,0,0,4,54,AdFemFID,2
2018,0,1040,7541,1,RegPY,NA,Weliton,0,0,5,126,AdFemFID,4
2018,0,1040,7328,1,0,NA,Weliton,0,0,6,157,AdFemFID,5
2018,0,1040,7700,2,0,NA,Weliton,0,0,7,45,AdFemFID,4
2019,0,1040,8056,6,0,NA,Carolina,0,0,8,170,AdFemFID,3
2019,0,1040,7762,2,0,NA,Carolina,0,0,9,5,AdFemFID,1
2019,0,1044,7264,1,0,NA,Weliton,0,0,6,156,AdFemFID,17
2019,0,1044,7508,1,0,NA,Weliton,0,0,7,18,AdFemFID,14
2019,0,1045,7495,1,0,NA,Weliton,0,0,6,174,AdFemFID,6
2019,0,1045,7052,1,0,NA,Weliton,0,0,7,20,AdFemFID,4
2019,0,1050,7961,2,0,NA,Weliton,0,0,5,157,AdFemFID,4
2019,0,1050,8040,1,0,NA,Weliton,0,0,6,20,AdFemFID,5
2018,0,1054,7521,3,0,NA,Weliton,0,0,3,92,AdFemFID,4
2018,0,1054,7588,1,0,NA,Weliton,0,0,4,1,AdFemFID,2
2018,0,1054,7490,2,0,NA,Weliton,0,0,5,1,AdFemFID,4
2018,0,1054,7541,2,0,NA,Weliton,0,0,6,172,AdFemFID,3
2018,0,1054,7577,1,0,NA,Weliton,0,0,7,1,AdFemFID,6
2018,0,1054,7708,1,0,NA,Weliton,0,0,8,25,AdFemFID,2
2019,0,1054,7738,1,0,NA,Weliton,0,0,9,150,AdFemFID,8
2019,0,1054,7871,2,0,NA,Weliton,0,0,10,1,AdFemFID,5
2019,0,1057,8201,2,0,NA,Weliton,0,0,6,202,AdFemFID,9
2019,0,1057,8180,1,0,NA,Weliton,0,0,7,5,AdFemFID,10
2019,0,1058,7453,1,0,NA,Weliton,0,0,6,161,AdFemFID,4
2019,0,1058,7769,1,0,NA,Weliton,0,0,7,1,AdFemFID,3
2017,0,1064,7935,1,LPY,NA,Weliton,0,0,1,500,AdFemFID,1
2017,0,1064,8010,1,0,NA,Weliton,0,0,2,48,AdFemFID,11
2017,0,1067,8235,3,LPY,NA,Weliton,0,0,1,500,AdFemFID,7
2017,0,1067,8294,1,0,NA,Weliton,0,0,2,36,AdFemFID,7
2018,0,1067,8250,1,0,NA,Weliton,0,0,3,310,AdFemFID,6
2018,0,1067,8278,1,0,NA,Weliton,0,0,4,28,AdFemFID,8
2018,0,1067,8241,2,0,NA,Weliton,0,0,5,2,AdFemFID,5
2019,0,1067,8311,7,0,NA,Carolina,0,0,6,176,AdFemFID,10
2019,0,1067,8246,3,0,NA,Weliton,0,0,7,1,AdFemFID,7
2017,0,1070,8038,1,0,NA,Weliton,0,0,1,500,AdFemFID,13
2017,0,1070,7954,2,SA,NA,Weliton,0,0,2,1,AdFemFID,13
2017,0,1070,8221,1,0,NA,Weliton,0,0,3,1,AdFemFID,13
2018,0,1070,7781,1,0,NA,Weliton,0,0,4,91,AdFemFID,13
2018,0,1070,7591,2,0,NA,Weliton,0,0,5,167,AdFemFID,10
2018,0,1070,8241,1,0,NA,Weliton,0,0,6,32,AdFemFID,9
2019,0,1070,7845,3,0,NA,Carolina,0,0,7,153,AdFemFID,13
2019,0,1070,7928,2,0,NA,Carolina,0,0,8,24,AdFemFID,12
2019,0,1071,8181,2,0,NA,Weliton,0,0,5,159,AdFemFID,5
2019,0,1071,8130,2,0,NA,Weliton,0,0,6,21,AdFemFID,10
2018,0,1072,7903,2,0,NA,Weliton,0,0,4,276,AdFemFID,7
2018,0,1072,7678,2,0,NA,Weliton,0,0,5,35,AdFemFID,6
2019,0,1072,7586,1,0,NA,Weliton,0,0,6,150,AdFemFID,5
2019,0,1072,7728,2,0,NA,Weliton,0,0,7,18,AdFemFID,7
2017,0,1074,7957,2,0,NA,Weliton,0,0,1,500,AdFemFID,6
2017,0,1074,7986,2,0,NA,Weliton,0,0,2,1,AdFemFID,9
2018,0,1074,8148,1,0,NA,Weliton,0,0,3,90,AdFemFID,8
2018,0,1074,8040,1,LPY,NA,Weliton,0,0,4,169,AdFemFID,12
2018,0,1074,7965,2,LPY,NA,Weliton,0,0,5,40,AdFemFID,7
2019,0,1074,7510,2,SA,NA,Carolina,0,0,6,142,AdFemFID,15
2019,0,1079,7540,1,0,NA,Weliton,0,0,5,160,AdFemFID,6
2019,0,1079,7400,2,0,NA,Weliton,0,0,6,22,AdFemFID,6
2019,0,1079,7301,2,0,NA,Weliton,0,0,7,10,AdFemFID,11
2017,0,1081,7993,1,LPY,NA,Weliton,0,0,1,500,AdFemFID,7
2017,0,1081,8369,2,LPY,NA,Weliton,0,0,2,46,AdFemFID,7
